score,min_cluster_size,min_samples
0.434,858,644
0.434,941,645
0.43,998,631
0.426,914,648
0.419,833,857
0.418,819,755
0.413,962,834
0.41,823,622
0.408,980,712
0.405,863,740
0.404,880,729
0.403,858,758
0.403,725,800
0.403,540,840
0.403,566,823
0.402,953,706
0.402,919,738
0.402,731,831
0.402,357,835
0.402,833,831
0.402,870,802
0.399,983,729
0.399,987,716
0.399,358,862
0.399,489,859
0.398,232,910
0.398,404,863
0.397,422,830
0.397,742,813
0.397,429,857
0.397,435,830
0.397,453,873
0.396,819,634
0.396,766,755
0.396,367,845
0.396,474,834
0.396,547,845
0.394,881,662
0.393,775,628
0.393,394,886
0.393,236,853
0.392,243,888
0.392,787,638
0.389,908,613
0.388,847,615
0.387,724,810
0.387,264,843
0.387,515,843
0.387,785,782
0.385,435,844
0.384,942,654
0.383,776,653
0.382,441,800
0.382,392,883
0.382,418,883
0.382,632,786
0.382,694,801
0.382,313,881
0.382,642,865
0.382,583,801
0.382,991,653
0.382,249,883
0.381,785,812
0.381,887,747
0.381,299,846
0.381,496,846
0.38,730,816
0.38,773,802
0.38,735,815
0.379,863,618
0.379,289,872
0.379,353,837
0.379,885,830
0.378,787,669
0.377,907,870
0.377,945,776
0.377,810,870
0.377,706,869
0.377,558,870
0.376,852,509
0.376,775,630
0.376,697,697
0.376,813,501
0.376,334,814
0.376,242,899
0.375,633,744
0.375,875,579
0.375,871,577
0.374,695,783
0.374,926,853
0.373,565,867
0.37,726,728
0.37,794,712
0.37,732,717
0.369,714,734
0.369,996,577
0.369,724,778
0.369,983,561
0.369,898,649
0.369,737,698
0.368,691,875
0.368,660,779
0.368,763,632
0.368,556,779
0.368,445,902
0.367,800,720
0.366,722,907
0.365,468,955
0.365,896,874
0.364,833,828
0.364,432,817
0.364,525,817
0.364,388,645
0.363,812,847
0.362,642,990
0.362,664,924
0.362,617,880
0.362,672,880
0.362,784,822
0.361,249,925
0.361,643,837
0.361,753,837
0.361,414,922
0.361,725,748
0.361,790,671
