calinski_harabaz,davies_bouldin,min_cluster_size,min_samples,score,silhouette
2.296,233.404,56,1,0.822,0.188
2.296,233.404,65,1,0.822,0.188
2.296,233.404,22,1,0.822,0.188
2.296,233.404,96,1,0.822,0.188
2.296,233.404,45,1,0.822,0.188
2.296,233.404,76,1,0.822,0.188
2.296,233.404,35,1,0.822,0.188
2.296,233.404,92,1,0.822,0.188
2.296,233.404,70,1,0.822,0.188
2.296,233.404,80,1,0.822,0.188
2.296,233.404,86,2,0.696,0.188
2.296,233.404,5,2,0.696,0.188
2.296,233.404,47,2,0.696,0.188
2.296,233.404,83,2,0.696,0.188
2.296,233.404,98,3,0.676,0.188
2.296,233.404,93,3,0.676,0.188
2.296,233.404,77,3,0.676,0.188
2.296,233.404,76,3,0.676,0.188
2.296,233.404,13,3,0.676,0.188
2.296,233.404,68,3,0.676,0.188
2.296,233.404,90,3,0.676,0.188
2.296,233.404,69,3,0.676,0.188
2.296,233.404,4,3,0.676,0.188
2.296,233.404,38,3,0.676,0.188
2.296,233.404,35,3,0.676,0.188
2.296,233.404,37,3,0.676,0.188
2.296,233.404,59,3,0.676,0.188
2.296,233.404,24,3,0.676,0.188
2.296,233.404,4,4,0.669,0.188
2.296,233.404,62,4,0.669,0.188
2.296,233.404,93,4,0.669,0.188
2.296,233.404,24,4,0.669,0.188
2.296,233.404,10,4,0.669,0.188
2.296,233.404,66,4,0.669,0.188
2.296,233.404,11,4,0.669,0.188
2.296,233.404,99,4,0.669,0.188
2.296,233.404,59,4,0.669,0.188
2.296,233.404,20,4,0.669,0.188
2.296,233.404,82,4,0.669,0.188
2.296,233.404,70,5,0.658,0.188
2.296,233.404,25,5,0.658,0.188
2.296,233.404,80,5,0.658,0.188
2.296,233.404,26,5,0.658,0.188
2.296,233.404,68,5,0.658,0.188
2.296,233.404,75,5,0.658,0.188
2.296,233.404,90,5,0.658,0.188
2.296,233.404,71,5,0.658,0.188
2.296,233.404,22,5,0.658,0.188
2.296,233.404,47,5,0.658,0.188
2.296,233.404,28,6,0.656,0.188
2.296,233.404,11,6,0.656,0.188
2.296,233.404,7,6,0.656,0.188
2.296,233.404,55,6,0.656,0.188
2.296,233.404,92,6,0.656,0.188
2.296,233.404,20,6,0.656,0.188
2.296,233.404,93,6,0.656,0.188
2.296,233.404,43,6,0.656,0.188
2.296,233.404,9,6,0.656,0.188
2.296,233.404,76,6,0.656,0.188
2.296,233.404,98,6,0.656,0.188
2.296,233.404,12,6,0.656,0.188
2.296,233.404,22,7,0.645,0.188
2.296,233.404,76,7,0.645,0.188
2.296,233.404,13,7,0.645,0.188
2.296,233.404,77,7,0.645,0.188
2.296,233.404,81,7,0.645,0.188
2.296,233.404,67,7,0.645,0.188
2.296,233.404,31,7,0.645,0.188
2.296,233.404,37,8,0.644,0.188
2.296,233.404,12,8,0.644,0.188
2.296,233.404,89,8,0.644,0.188
2.296,233.404,31,8,0.644,0.188
2.296,233.404,66,8,0.644,0.188
2.296,233.404,69,8,0.644,0.188
2.296,233.404,49,8,0.644,0.188
2.296,233.404,86,8,0.644,0.188
2.296,233.404,9,8,0.644,0.188
2.296,233.404,94,8,0.644,0.188
2.296,233.404,63,9,0.64,0.188
2.296,233.404,64,9,0.64,0.188
2.296,233.404,75,9,0.64,0.188
2.296,233.404,92,9,0.64,0.188
2.296,233.404,48,9,0.64,0.188
