score,min_cluster_size,min_samples
0.511,7,2
0.511,8,2
0.509,10,3
0.509,13,3
0.505,12,1
0.505,13,1
0.505,9,1
0.505,11,1
0.5,2,6
0.5,6,6
0.5,8,1
0.5,7,6
0.5,7,1
0.498,3,3
0.495,5,4
0.493,9,4
0.488,21,1
0.487,3,8
0.483,2,9
0.48,18,2
0.469,24,3
0.469,21,3
0.469,16,5
0.466,15,4
0.466,14,4
0.462,11,6
0.458,12,8
0.455,10,9
0.454,19,2
0.449,7,14
0.449,5,14
0.445,4,15
0.443,2,12
0.434,3,11
0.434,5,11
0.428,2,17
0.405,14,9
0.405,17,9
0.398,23,2
0.392,13,10
0.388,36,1
0.388,38,1
0.388,30,1
0.386,28,2
0.386,36,2
0.386,41,2
0.386,35,2
0.386,42,2
0.384,8,15
0.38,13,8
0.379,11,11
0.375,5,16
0.373,11,15
0.372,18,9
0.362,14,11
0.355,17,6
0.355,20,6
0.346,48,1
0.346,15,7
0.346,42,1
0.346,18,7
0.346,43,1
0.346,49,1
0.321,24,6
0.315,26,4
0.315,27,4
0.307,24,5
0.299,19,12
0.279,27,7
0.279,26,7
0.278,12,13
0.271,28,5
0.271,26,5
0.265,37,11
0.265,19,11
0.265,16,11
0.265,21,11
0.241,25,12
0.229,38,3
0.229,48,3
0.229,39,3
0.229,46,3
0.213,29,5
0.199,28,4
0.188,12,17
0.188,10,17
0.185,33,4
0.185,40,4
0.185,31,4
0.185,32,4
0.185,46,4
0.158,39,6
0.158,36,6
0.158,33,6
0.158,45,6
0.158,44,6
0.158,41,6
0.157,21,13
0.157,16,13
0.157,17,13
0.157,14,13
0.154,20,8
0.151,33,5
0.151,32,5
0.151,43,5
0.151,39,5
0.151,31,5
0.149,5,1
0.127,36,7
0.127,37,7
0.127,42,7
0.127,40,7
0.127,48,7
0.127,39,7
0.127,43,7
0.127,33,7
0.12,27,8
0.12,33,8
0.12,28,12
0.12,35,8
0.12,48,12
0.12,35,12
0.118,18,10
0.105,22,15
0.105,36,15
0.105,33,15
0.105,49,15
0.105,24,15
0.105,42,15
0.105,20,15
0.105,30,15
0.103,37,13
0.103,41,13
0.103,40,13
0.103,47,13
0.103,46,13
0.103,27,13
0.103,26,13
0.103,39,13
0.102,39,9
0.102,26,9
0.102,41,9
0.102,35,9
0.099,42,11
0.096,17,16
0.096,19,16
0.096,28,16
0.096,20,16
0.096,30,16
0.09,39,10
0.09,35,10
0.09,44,10
0.09,22,10
0.09,36,10
0.09,49,10
0.09,20,10
0.09,28,10
0.087,34,14
0.086,45,8
0.086,48,8
0.083,28,17
0.083,34,17
0.083,32,17
0.083,30,17
0.083,23,17
0.083,14,17
0.078,47,9
0.078,49,9
0.066,49,14
0.066,47,14
0.051,35,17
0.051,40,17
0.051,37,17
0.051,38,17
0.051,39,17
0.051,41,17
