,x [nm],y [nm]
0,-8137.768413371784,1707.8202305529178
1,-8198.24779238534,4517.140612519208
2,-7447.12893970956,2814.008024702688
3,-9040.342125229205,1762.2596077174735
4,-8911.681822690307,4287.280081633521
5,-6751.258634515317,1020.3454543842589
6,-6863.54967449512,3151.8466117770904
7,-7850.765023988051,2777.6566184159124
8,-8734.530840719559,3319.3422632283996
9,-4648.769547139217,2179.841358338733
10,-5652.751214801637,3175.9030426664185
11,-7766.452216587943,2967.2036835110052
12,-6534.243125924846,1007.66206017555
13,-5442.284700434791,1509.9268211318922
14,-8897.232945072828,2505.3594873554507
15,-5756.173905069817,4590.12572353744
16,-6851.088373145443,3485.8467593160085
17,-8612.224842034473,1415.1504414746516
18,-7913.3137889355785,3623.0666604187686
19,-7286.967853391293,2577.86199106076
20,-7399.030692053681,2938.2827874950262
21,-7289.779403412558,2660.9763280413786
22,-5756.240705331864,4508.271028614716
23,-9061.976286298463,2187.7894437895015
24,-5008.257185920278,3540.7683214771364
25,-7646.9878507794565,754.7237047693462
26,-7172.872623885013,4673.788883300826
27,-6900.7510783232765,1349.8194852189217
28,-7608.1280737153465,3180.32510122567
29,-8303.925173416637,1074.937166839823
30,-8238.83941728157,1908.715485511335
31,-7243.701256149486,763.2709642064932
32,-7009.32209500423,2110.663825604479
33,-7395.621293430222,2473.1974952441847
34,-6990.396199671336,2565.6423241054567
35,-6928.742148408498,2465.7744030604854
36,-6507.874716461337,4999.522494842802
37,-8033.090368429582,1724.752777950125
38,-8540.528186087116,1423.4714305826203
39,-7255.28722827394,3747.906237386464
40,-5987.308303336609,3432.8528779607273
41,-6967.367278261814,3338.0299972638772
42,-4416.940864012395,2029.3383808087842
43,-6271.885698188775,1955.1483876940358
44,-6869.275598132969,5111.838399587775
45,-8106.8602867007585,1174.2812239518123
46,-6436.627770668196,3353.0931196957295
47,-5777.5035065835,3363.7396710845587
48,-7756.968945415389,3362.2188682338583
49,-4811.394050651856,4309.666162346157
50,-7324.663682828533,3292.0917318548536
51,-6375.319267756747,816.9981247920086
52,-5498.592140971989,2826.0081331526326
53,-6730.635041443229,604.580347404061
54,-6782.736770438841,4170.181204389017
55,-8623.773895644033,1493.5885866879878
56,-7751.761072618265,2974.2057917037646
