,x [nm],y [nm]
0,-6487.676058415237,3701.3761020397324
1,-7448.717969311473,2419.5630704312894
2,-8315.153414953758,1462.0190431260658
3,-7674.247540621176,866.0237524020524
4,-6471.566360025796,2395.849239284785
5,-7228.372242972829,1859.835615622322
6,-7199.694518835639,2827.847304344947
7,-7048.842385783744,2147.321703958838
8,-7011.196813671371,2462.3946252948044
9,-6530.965820454962,4629.490915706106
10,-6814.064197913254,2545.1032475532224
11,-8143.780619742169,4008.9138830721504
12,-6435.215291356528,2679.6251835993326
13,-7348.561792980263,3005.6664879619316
14,-7507.839941188829,2920.278401894596
15,-7063.919250015988,2633.6167817256555
16,-7646.397757266803,3005.3169930937665
17,-9062.898050271782,3085.2581860105392
18,-8842.196715540096,4269.109971323953
19,-6394.628833489083,4789.486600243157
20,-7182.430057661912,2366.7785256119414
21,-8542.03855275983,4383.16115406092
22,-8424.479972458666,4836.111391054278
23,-6525.166609456777,884.5648332864009
24,-7688.24369566144,3122.5230983842725
25,-6101.571868557296,4478.969702261217
26,-7271.101596337023,3365.915034138772
27,-7462.440106620833,3563.6129115791928
28,-5103.726214805407,3800.661371033079
29,-6057.86999273401,2895.257655874551
30,-7664.941958134729,3134.469464061953
31,-7639.717891853237,2989.449621383174
32,-8938.911250824805,2727.872139869521
33,-7377.640947399673,4974.91791026637
34,-8855.482542180902,4098.036221191849
35,-6427.007495593087,2503.827833710593
36,-6630.349024442737,3352.209804259654
37,-8651.472145405533,4415.135998796281
38,-7424.78389351947,2507.9202169061564
39,-8369.924226236124,1497.849252047609
40,-7200.36224192873,2431.1993268762008
41,-6760.075680114491,3598.4001908344485
42,-8593.947051817728,1375.036550563091
43,-8693.166578123797,4581.814855607553
44,-6103.744332147823,3055.682140991456
45,-8904.209083689646,3292.8677116417207
46,-6571.534890576498,2338.070075759285
47,-6975.713204984443,3528.093319926328
48,-5200.13775424119,3762.8444173560497
49,-7565.560032511039,2270.729075688162
50,-7347.948039564995,2119.1807724660894
51,-8575.020786574194,3884.882540403401
52,-6341.43635861165,4949.304496238093
53,-6813.289976151267,4407.122951535037
54,-5984.444261335965,997.8105401512081
55,-7811.769556470892,2695.2839416846687
56,-8821.684383706423,4096.276908818773
57,-7608.216190851627,3309.285554864592
58,-7907.0820333307975,3030.2485519604797
59,-7197.554485008961,2691.986724179559
60,-6984.634757031381,3406.0529236859275
61,-8209.942082511387,1477.78102016714
62,-7035.310307018134,2291.687194024653
63,-7734.284629438583,1100.7064648081166
64,-8916.175468198055,4078.831081058432
65,-6018.168768640407,817.786959052095
66,-6985.895590104849,5002.639617059245
67,-6525.88861940057,3751.921800862111
68,-6922.940187091063,2444.277661646736
69,-7056.4536681372765,2237.6330127338756
70,-5232.754974403273,2003.5898310040188
71,-8160.063812472708,4476.433385618444
72,-6305.674303354398,4367.534399418114
73,-7816.551518441023,3325.1385045181364
74,-7789.992540532021,3723.0478838562226
75,-8025.320889312184,3283.457049438947
76,-7225.580842331751,3085.054224612449
77,-7335.495721777357,3406.158360061821
78,-4913.409737076607,3587.1716393979723
79,-5354.314756454511,4116.272193404928
80,-7740.673693201857,3297.7025360303674
81,-5580.640788160344,3840.1565169183123
82,-6438.122963460447,4816.070052972257
83,-6826.170122175993,3297.8589862726044
84,-6473.298378655178,2839.449268606651
85,-7215.402864324039,3468.1947021438614
86,-7202.426959561997,2704.38021854293
87,-8690.048633677776,4188.0854263327055
88,-6259.080602684363,2848.884823424583
89,-6776.810256697172,1387.5750304287053
90,-7023.375027056085,2333.7386618240635
91,-7432.183503086203,3501.1148818176193
92,-7455.642647117947,2503.14822243701
93,-7177.739257985986,1991.7440930060359
94,-5679.378012093817,1225.6404719859643
95,-7253.403980545968,2144.5484137747253
96,-8591.45614463697,4064.8970536112683
97,-5354.049899580811,2134.477943780259
98,-6984.038695410913,2470.7481959117963
99,-7225.559874427402,3295.527214974361
100,-5889.175959507917,4397.964497293217
101,-5559.987967050926,1454.708064940825
102,-6810.191728309052,3731.0064662561927
103,-7645.218353078411,2744.3617231965122
104,-6409.337216319602,3262.419935578423
105,-6818.434112915173,2651.618589725452
106,-6911.112185866095,3561.414216778835
107,-6928.98617671164,2619.637308711883
108,-6587.4184158096095,3052.873970122591
109,-7161.178274744434,3068.7095876775506
110,-7127.4288266634885,2525.096556179977
111,-6685.095663500748,2469.363049805593
112,-7321.47250282696,3370.652293664871
113,-5226.435837947015,1828.8760077753213
114,-5518.443608925074,1535.1707245156292
115,-6963.823517459355,3780.080428008705
116,-8755.616312080278,4144.309574432571
117,-7679.533058995207,2961.7137874108766
118,-7954.944803521823,1095.1994783963232
119,-6580.613375359439,2957.0285520383954
120,-6370.762627326064,2446.713266265738
121,-7413.465806001878,2350.9042375697977
122,-9073.425723186914,2539.024452647224
123,-8063.130171708652,4732.896618629969
124,-6637.181277864495,2279.0368124046463
125,-7256.603706708223,2197.5105586681384
126,-7263.315794865214,3374.9814163948877
127,-6518.426012764992,2742.212202250578
128,-7147.796221155741,915.5815608424444
129,-4955.6349432720735,3541.341711834704
130,-5847.678070553618,4861.802827533595
131,-7513.617634222199,3835.646041883868
132,-6864.820696640103,2675.564408415535
133,-6488.539016771417,3298.5861278792313
134,-6284.232820418584,3116.8970333622224
135,-6187.511297314964,2735.638738150186
136,-8772.701975934051,3254.6442556186375
137,-8453.888509742028,4854.344857992013
138,-6956.064457904487,3461.0065262548496
139,-7097.892302350562,3519.3311953935245
140,-8443.187296043401,1642.3816372688018
141,-8292.45242455325,4655.599080017566
142,-6676.920623542822,2664.409620741784
143,-7297.982057750138,2974.8388826027785
144,-8970.181516019551,2579.8097870150727
145,-6381.428754729346,3957.2792111159188
146,-7416.301266900635,2851.370069203528
147,-7381.942964307622,2336.4409972578796
148,-7308.364207981203,3333.450646126669
149,-8734.89881449327,2848.891941177483
150,-5199.39279302792,2422.3104842675843
151,-5691.679523146142,1405.227553919737
152,-4625.214342549852,2706.7833281661196
153,-6235.23929917198,3064.5791330031198
154,-4961.787531652409,2587.0902563013137
155,-7414.907054997889,2635.746128082881
156,-9180.262287077252,3529.5292948308365
157,-7401.685046875198,849.773602619686
158,-7804.7094813451395,1246.0578806490857
159,-6337.445892055528,4993.855670105726
160,-7992.923682554204,1147.9935326601576
161,-7555.871132769965,2868.6661664754283
162,-5830.565717360711,1226.920041662291
163,-7356.118326263167,3359.2457327088578
164,-7089.1542651153,3526.30335543855
165,-6349.220083060212,2445.9184264265127
166,-7941.553455770487,4864.872871689549
167,-8700.835251154098,2778.7104833746203
168,-8917.98895465698,2451.2621138758677
169,-6465.203823392542,1085.1745473295107
170,-8965.621048108726,3522.4469875537798
171,-5386.618275439862,3027.2696056045634
172,-8963.910105064546,3297.8855459796387
173,-6490.116401090267,3178.4712404624797
174,-7481.787877521626,4823.918794170832
175,-6581.608112276767,3102.3387730364457
176,-7450.994957566038,1135.4660135638185
177,-6863.337620489239,3529.553662130637
178,-8255.655259706367,1359.1717486351677
179,-8246.812549959457,4412.309102133195
180,-6284.403256759614,4773.004063592257
181,-7933.099935019553,3339.4740595221924
182,-6431.597935651785,3290.7082201651274
183,-7281.884880291575,3650.1487857911206
184,-8120.311628701123,1598.7493997822698
185,-8982.122659156576,2895.17174755447
186,-5681.251151056212,4497.07531142448
187,-8879.714495362474,2796.8059832545173
188,-7370.817769809597,3094.36263607304
189,-6502.953866451737,5189.1801250898925
190,-8587.949263277513,1648.2216119598356
191,-8220.744161883671,4320.478214276134
192,-7309.072479484412,2100.51136101358
193,-7577.663027782629,2738.970901022452
194,-5357.8402235074,4425.920013717672
195,-6800.855225598799,4800.093856873904
196,-7164.81864954568,2439.6340559405594
197,-6469.992392663831,3006.531093129127
198,-7684.943652303939,1372.873617575385
199,-5186.0171846548565,2662.187549341474
200,-7161.033361891467,5332.200408677368
201,-9060.575573207068,3296.763081327567
202,-6631.13144182797,2650.5608122459207
203,-7076.188553348404,2900.033836496579
204,-7955.740220633771,4753.14169526
205,-7169.778297447819,2990.4734380701266
206,-7579.460372162382,2822.941085660693
207,-6389.583838398234,2576.0905773956333
208,-5052.320827121221,2213.8313459633523
209,-7283.894416888831,889.3725330053463
210,-6577.0505773824525,724.069649707733
211,-7634.785706803607,2635.007074974583
212,-6463.543485696508,3836.3124433634134
213,-6910.14785681648,2575.0780025719528
214,-6251.693784654294,4996.693520118681
215,-7072.214382628617,2137.07923469459
216,-6629.737135327634,2179.1459487434668
217,-8853.112387821486,3839.3041951015484
218,-7176.2781523947915,3483.123289231779
219,-7388.802040810572,2839.7201074629293
220,-6848.1090232200495,2243.2645620966455
221,-7510.4296866841705,3459.120827348256
222,-6346.7006046052775,3268.1062574730386
223,-7231.277401178212,3825.566219251123
224,-6434.685927734752,2699.5317901849057
225,-7446.871375875391,3664.7687300978173
226,-6581.397954087884,3089.4043865909903
227,-6058.731226776958,4469.658829674537
228,-8062.654909786209,4909.466016730208
229,-6383.5485048498795,2947.2702875408177
230,-7367.200052519839,2722.618524766233
231,-7015.429464830944,965.8186845180752
232,-5314.757881904664,2246.376756084472
233,-6594.277272511034,2608.315382479828
234,-5638.708578754854,4107.860787038012
235,-8367.03126237425,4617.467234891061
236,-6485.965705877397,2564.7305084216873
237,-7530.304027219754,2456.9833732393363
238,-7337.419950937609,3089.010420056022
239,-8701.374873466202,2527.673694477763
240,-9022.55842248409,3753.505605919141
241,-6678.804765378087,3593.882914264192
242,-6156.535647691561,3321.2933264591907
243,-6405.751768101487,3506.4151587705787
244,-7987.252023179582,4881.675782454819
245,-6962.028158172647,2246.649436599348
246,-6836.74582180185,2396.841079966612
247,-4608.092715741804,2540.8729101192566
248,-7245.150755151114,5077.788548578724
249,-8266.789084762995,1337.956776781612
250,-7186.065436912522,3656.1186962639417
251,-6039.7753140288205,1169.575120331969
252,-6343.596230774492,2665.158948202537
253,-6915.665839971405,1216.3844729363775
254,-7427.068691711267,4645.785078671651
255,-6907.42946285462,2182.243185200026
256,-7754.482737840959,2520.50905760001
257,-6195.031108830602,2441.928163475204
258,-6567.925709124607,4639.226767562621
259,-6450.938707902476,888.4231414987482
260,-5051.882130790586,3968.709084266636
261,-5060.340481636963,3585.4115255072106
262,-7240.675040382194,3877.7305381662263
263,-8712.892724144976,2455.6896284830314
264,-7290.814967722682,2717.223214179357
265,-7250.539005951597,1327.6411979623633
266,-7601.232218446788,2586.029524905261
267,-6564.669881290504,3623.564765440953
268,-7222.39694676459,3558.7239678888513
269,-6107.907007031868,5033.977014950284
270,-6374.3059273981735,2409.738563999481
271,-7957.728895686136,5039.547857457171
272,-6893.778678170676,1217.0288346268364
273,-6193.915211582445,1040.3087737852532
274,-6631.040550435744,3163.2668965024113
275,-7123.15364700357,3377.241456202334
276,-5092.607252665072,3330.4447706374676
277,-6695.375592656834,3150.464140245321
278,-6853.705619420434,3454.4937339458056
279,-7227.2549803817865,2229.024355633729
280,-7473.686904128238,2894.9216500814564
281,-6566.35746738902,2111.893827402043
282,-6663.420433503387,1090.3175871430824
283,-7585.5236844009505,3211.6608554463496
284,-8787.590650211021,4275.191335251711
